Record ID,Title,Subject,Institution,Journal,Publisher,Country,Author,URLS,ArticleType,RetractionDate,RetractionDOI,RetractionPubMedID,OriginalPaperDate,OriginalPaperDOI,OriginalPaperPubMedID,RetractionNature,Reason,Paywalled,Notes,psych,doi_available
25085,"School social bonds, school climate, and school misbehavior: A multilevel analysis",(SOC) Education;(SOC) Psychology;(SOC) Sociology;,"Georgia State University, USA;",Justice Quarterly,Taylor and Francis,United States,Eric Stewart,http://retractionwatch.com/2020/06/09/criminology-researcher-to-lose-sixth-paper/,Research Article;,2021-01-21T00:00:00Z,10.1080/07418820300095621,0,2006-08-19T00:00:00Z,10.1080/07418820300095621,0,Retraction,+Concerns/Issues About Data;+Error in Analyses;+Error in Data;+Investigation by Journal/Publisher;+Unreliable Results;,No,NA,1,1
24967,Dishonesty is more affected by BMI status than by short-term changes in glucose,(HSC) Medicine - General;(SOC) Ethics/Bioethics;(SOC) Psychology;,"European Commission, Joint Research Center (JRC), 21021, Ispra, Italy; Institute of Cognitive Science and Technologies, National Research Center, 00185, Rome, Italy; Univ Lyon, CNRS, GATE, UMR 5824, 69130, Ecully, France; IZA, Bonn, Germany;",Scientific Reports,Springer - Nature Publishing Group,France;Germany;Italy,Eugenia Polizzi di Sorrentino;Benedikt Herrmann;Marie Claire Villeval,http://retractionwatch.com/2020/08/06/a-retraction-and-a-retraction-request-as-twitter-users-call-out-sexism-fat-shaming-and-racism/,Research Article;,2021-01-12T00:00:00Z,10.1038/s41598-020-80528-2,33436836,2020-07-22T00:00:00Z,10.1038/s41598-020-68291-w,32699212,Retraction,+Concerns/Issues About Data;+Concerns/Issues About Results;+Error in Methods;+Objections by Third Party;+Upgrade/Update of Prior Notice;,No,NA,1,1
25782,Effects of cartoon violence on aggressive thoughts and aggressive behaviors,(SOC) Psychology;(SOC) Sociology;(SOC) Sports and Recreation;,"Center for Studies of Education and Psychology of Minorities in Southwest China, Southwest University, Chongqing, China; Faculty of Education, Southwest University, Chongqing, China; Faculty of Psychology, Philipps-University Marburg, Marburg, Germany; Department of Psychology, Southwest University, Chongqing, China; College of Education, Guizhou Normal University, Guiyang, China; Department of Psychology, University of Florida, Gainesville, Florida;",Aggressive Behavior,Wiley,China;Germany;United States,Qian Zhang;Yi CAo;Jing Ya Gao;Xiong Yang;Detlef H Rost;Gang Cheng;Zhaojun Teng;Dorothy L Espelage,http://retractionwatch.com/2019/12/06/journal-retracts-two-papers-linking-exposure-to-violence-to-aggressive-behavior/,Clinical Study;,2021-01-09T00:00:00Z,10.1002/ab.21946,0,2019-04-08T00:00:00Z,10.1002/ab.21836,30957878,Retraction,+Error in Analyses;+Error in Data;+Error in Methods;+Error in Text;,No,NA,1,1
24872,The association between early career informal mentorship in academic collaborations and junior author performance,(SOC) Education;(SOC) Psychology;,"Department of Computer Science, Science Division, New York University Abu Dhabi, Abu Dhabi, UAE; Computational Social Science Lab, Social Science Division, New York University Abu Dhabi, Abu Dhabi, UAE; Social Research and Public Policy, Social Science Division, New York University Abu Dhabi, Abu Dhabi, UAE;",Nature Communications,Springer - Nature Publishing Group,United Arab Emirates,Bedoor Alshebli;Kinga Makovi;Talal Rahwan,http://retractionwatch.com/2020/11/19/nature-communications-looking-into-paper-on-mentorship-after-strong-negative-reaction/;http://retractionwatch.com/2020/12/21/nature-communications-retracts-much-criticized-paper-on-mentorship/,Research Article;,2020-12-21T00:00:00Z,10.1038/s41467-020-20617-y,33349637,2020-11-17T00:00:00Z,10.1038/s41467-020-19723-8,33203848,Retraction,+Concerns/Issues About Data;+Concerns/Issues About Results;+Error in Analyses;+Error in Methods;,No,NA,1,1
24876,Psychometric properties of the self-report version of the strengths and difficulties questionnaire in the Ecuadorian context: an evaluation of four models,(SOC) Psychology;,"Faculty of Psychology, University of Cuenca, Cuenca, Ecuador;",BMC Psychology,Springer - Biomed Central (BMC),Ecuador,Paul Arias-Medina,http://retractionwatch.com/2020/12/29/psychology-paper-retracted-after-creators-of-tool-allege-serious-breach-of-copyright/,Research Article;,2020-12-18T00:00:00Z,10.1186/s40359-020-00487-1,33339528,2019-08-06T00:00:00Z,10.1186/s40359-019-0328-6,31387636,Retraction,+Copyright Claims;,No,NA,1,1
24938,Coffee-Drinking and Personality as Factors in the Genesis of Cancer and Coronary Heart Disease,(HSC) Medicine - Cardiology;(HSC) Medicine - Cardiovascular;(HSC) Medicine - Oncology;(SOC) Psychology;,"Institute of Psychiatry, University of London, UK",Neuropsychobiology,Karger,United Kingdom,Hans J Eysenck;Ronald Grossarth-Maticek,http://retractionwatch.com/?s=Hans+Eysenck,Research Article;,2020-12-17T00:00:00Z,10.1159/000512536,0,1990-03-01T00:00:00Z,10.1159/000119443,2098673,Retraction,+Concerns/Issues About Data;+Concerns/Issues About Results;+Bias Issues or Lack of Balance;,No,see also: https://www.kcl.ac.uk/news/statements/hans-eysenck;,1,1
24927,When Words Hurt: Affective Word Use in Daily News Coverage Impacts Mental Health,(HUM) Journalism;(SOC) Psychology;,"Department of Psychology, Northeastern University, Boston, MA, United States; School of Computing and Information, University of Pittsburgh, Pittsburgh, PA, United States; Department of Psychiatry, Massachusetts General Hospital, Athinoula A. Martinos Center for Biomedical Imaging, Charlestown, MA, United States; Edith Nourse Rogers Memorial (VA) Medical Center, Center for Healthcare Organization and Implementation Research, Bedford, MA, United State;",Frontiers in Psychology,Frontiers,United States,Jolie B Wormwood;Madeleine Devlin;Yu Ru Lin;Lisa Feldman Barrett;Karen S Quigley,NA,Research Article;,2020-12-17T00:00:00Z,10.3389/fpsyg.2020.630044,33391138,2018-08-02T00:00:00Z,10.3389/fpsyg.2018.01333,30116210,Retraction,+Error in Data;+Error in Methods;+Error in Results and/or Conclusions;,No,NA,1,1
24759,Search of Self Amidst Chaos,(HUM) Arts - Music;(SOC) Psychology;,"Flat No. 219, Pocket A-1, Sector-6, Rohini, New Delhi, 110085, India;",Journal of Psychosocial Rehabilitation and Mental Health,Springer,India,Pankaj Suneja,NA,Commentary/Editorial;,2020-12-08T00:00:00Z,10.1007/s40737-020-00208-2,0,2015-03-14T00:00:00Z,10.1007/s40737-015-0023-8,0,Retraction,+Notice - Limited or No Information;,No,NA,1,1
25005,Impact of disguise on identification decisions and confidence with simultaneous and sequential lineups,(SOC) Law/Legal Issues;(SOC) Psychology;,"Simon Fraser University, Canada; University of South Carolina Beaufort, USA; Queen's University, Canada;",Law and Human Behavior,American Psychological Association (APA),Canada;United States,James K Mansour;Jennifer L Beaudry;Michelle I Bertrand;Natalie Kalmet;Elisabeth I Melsom;Roderick C L Lindsay,NA,Research Article;,2020-12-01T00:00:00Z,10.1037/lhb0000435,33444065,2012-02-20T00:00:00Z,10.1037/h0093937,22353048,Retraction,+Error in Data;+Error in Methods;+Retract and Replace;,No,see https://doi.apa.org/doiLanding?doi=10.1037%2Flhb0000427;,1,1
24715,Psychometric properties of a short version of the Job Anxiety Scale,(HSC) Occupational Health and Safety;(SOC) Psychology;,"Department of Psychosomatic Medicine and Psychotherapy, University Medical Center of the Johannes Gutenberg University Mainz, Untere Zahlbacher Str. 8, 55131, Mainz, Germany; Technische UniversitÃ¤t Dresden, University Hospital Carl Gustav Carus, Clinic of Psychotherapy and Psychosomatic Medicine, FetscherstraÃŸe 74, 01307, Dresden, Germany; Hochschule Nordhausen, University of Applied Sciences, Weinberghof 4, 99734, Nordhausen, Germany; Department of Medical Psychology and Medical Sociology, University of Leipzig, Philipp-Rosenthal-Str. 55, 04103, Leipzig, Germany; University Medical Center of the Johannes Gutenberg University Mainz, Medical Psychology and Medical Sociology, Duesbergweg 6, 55131, Mainz, Germany;",BMC Medical Research Methodology,Springer - Biomed Central (BMC),Germany,Bjarne Schmalbach;Andreas Kalkbrenner;Markus Bassler;Andreas Hinz;Katja Petrowski,NA,Research Article;,2020-11-30T00:00:00Z,10.1186/s12874-020-01166-w,33256623,2020-04-21T00:00:00Z,10.1186/s12874-020-00974-4,32316930,Retraction,+Copyright Claims;+Lack of Approval from Third Party;,No,NA,1,1
24912,Cardiovascular and Self-Regulatory Consequences of SES-Based Social Identity Threat,(B/T) Business - Economics;(HSC) Medicine - Cardiovascular;(SOC) Psychology;,"Columbia University, New York, NY, USA; City of Hope National Medical Center, Duarte, CA, USA; University of Missouriâ€“St. Louis, St. Louis, MO, USA;",Personality & Social Psychology Bulletin,SAGE Publications,United States,Abdiel J Flores;Tanya A Chavez;Niall Bolger;Bettina J Casad,http://retractionwatch.com/2021/01/07/columbia-grad-student-faked-data-in-study-of-socioeconomics-and-life-experiences-says-retraction-notice/,Research Article;,2020-11-13T00:00:00Z,10.1177/0146167220973962,33186062,2019-05-01T00:00:00Z,10.1177/0146167218795157,30226412,Retraction,+Falsification/Fabrication of Data;+Falsification/Fabrication of Results;,No,NA,1,1
24623,Writer identification using graphemes,(B/T) Technology;(SOC) Forensics;(SOC) Psychology;,"Department of Computer and Communication Engineering, School of Computer Science & Information Technology, Manipal University Jaipur, Dehmi Kalan, Off Jaipur-Ajmer Expressway, Jaipur, India, 303007;",Sadhana,Springer,India,Manoj Kumar Sharma;Vanshika Chanderiya,NA,Research Article;,2020-11-04T00:00:00Z,10.1007/s12046-020-01516-w,0,2020-02-05T00:00:00Z,10.1007/s12046-020-1276-9,0,Retraction,+Plagiarism of Article;,No,NA,1,1
27676,"Multiple Concepts of Organizational Culture: Concept, Essence and Structural and Functional Content",(B/T) Business - Management;(SOC) Psychology;,Chelyabinsk State Academy of Culture and Arts,Bulletin of Tomsk State University. Philosophy. Sociology. Political Science (Ð’ÐµÑÑ‚Ð½Ð¸Ðº Ð¢Ð¾Ð¼ÑÐºÐ¾Ð³Ð¾ Ð“Ð¾ÑÑƒÐ´Ð°Ñ€ÑÑ‚Ð²ÐµÐ½Ð½Ð¾Ð³Ð¾ Ð£Ð½Ð¸Ð²ÐµÑ€ÑÐ¸Ñ‚ÐµÑ‚Ð°. Ð¤Ð¸Ð»Ð¾ÑÐ¾Ñ„Ð¸Ñ. Ð¡Ð¾Ñ†Ð¸Ð¾Ð»Ð¾Ð³Ð¸Ñ. ÐŸÐ¾Ð»Ð¸Ñ‚Ð¾Ð»Ð¾Ð³Ð¸Ñ),National Research Tomsk State University (ÐÐ°Ñ†Ð¸Ð¾Ð½Ð°Ð»ÑŒÐ½Ñ‹Ð¹ Ð¸ÑÑÐ»ÐµÐ´Ð¾Ð²Ð°Ñ‚ÐµÐ»ÑŒÑÐºÐ¸Ð¹ Ð¢Ð¾Ð¼ÑÐºÐ¸Ð¹ Ð³Ð¾ÑÑƒÐ´Ð°Ñ€ÑÑ‚Ð²ÐµÐ½Ð½Ñ‹Ð¹ ÑƒÐ½Ð¸Ð²ÐµÑ€ÑÐ¸Ñ‚ÐµÑ‚),Russia,Arman Amangeldyevich (ÐÑ€Ð¼Ð°Ð½ ÐÐ¼Ð°Ð½Ð³ÐµÐ»ÑŒÐ´Ñ‹ÐµÐ²Ð¸Ñ‡) Karachkanov (ÐšÐ°Ñ€Ð°Ñ‡ÐºÐ°Ð½Ð¾Ð²),NA,Research Article;,2020-10-30T00:00:00Z,Unavailable,0,2016-01-01T00:00:00Z,10.17223/1998863X/35/1,0,Retraction,+Euphemisms for Plagiarism;+Plagiarism of Text;+Taken from Dissertation/Thesis;,No,NA,1,1
24459,Mental health burden for the public affected by the COVID-19 outbreak in China: Who will be the high-risk group,(HSC) Medicine - Infectious Disease;(HSC) Public Health and Safety;(SOC) Psychology;,"The 6th Affiliated Hospital of Shenzhen University Health Science Center, Nanshan Hospital Affiliated to Shenzhen University Shenzhen, Shenzhen, Peopleâ€™s Republic of China; Huazhong University of Science and Technology Union Shenzhen Hospital, Shenzhen, Peopleâ€™s Republic of China;","Psychology, Health & Medicine",Taylor and Francis,China,Yeen Huang;Ning Zhao,NA,Research Article;,2020-10-23T00:00:00Z,10.1080/13548506.2020.1833631,33095058,2020-04-14T00:00:00Z,10.1080/13548506.2020.1754438,32286091,Retraction,+Duplication of Article;+False Affiliation;+False/Forged Authorship;,No,"corrected affiliationL Shenzen Second Peopleâ€™s Hospital, Shenzen, Peopleâ€™s Republic of China;",1,1
24455,Looking for My Self: Identityâ€Driven Attention Allocation,(SOC) Psychology;,"Marketing and Business Economics group, Katz GSB, University of Pittsburgh; The Wharton School, University of Pennsylvania;",Journal of Consumer Psychology,Wiley,United States,Nicole Verrochi Coleman;Patti Williams,http://retractionwatch.com/?s=%22nicole+coleman%22,Research Article;,2020-10-14T00:00:00Z,10.1002/jcpy.1196,0,2015-01-13T00:00:00Z,10.1016/j.jcps.2015.01.001,0,Retraction,+Concerns/Issues About Data;,No,NA,1,1
24499,Participantsâ€™ perception of the AIIMS Trauma Assessment and Management (ATAM) course for management of polytrauma due to road traffic injuries: A multi-institutional experience from India,(B/T) Transportation;(HSC) Medicine - Orthopedics;(SOC) Psychology;,"Division of Socio-Behavioural & Health Systems Research, Indian Council of Medical Research, New Delhi, India; Department of Orthopaedics, Pramukhswami Medical College, Karamsad, Gujarat, India; Department of Emergency Medicine, M.S. Ramaiah Medical College, Bengaluru, India; Division of Trauma Surgery and Critical Care, JPN Apex Trauma Centre, All India Institute of Medical Sciences, New Delhi, India; Department of General Surgery, King George's Medical University Lucknow, India; Department of Emergency Medicine, Jubilee Mission Medical College and Research Institute, Thrissur, India; Department of Paediatrics, Pramukhswami Medical College, Karamsad, Gujarat, India;",Journal of Clinical Orthopaedics and Trauma,Elsevier,India,Bontha V Babu;Karthink Vishwanathan;Aruna Ramesh;Amit Gupta;Sandeep Tiwari;Babu U Palatty;Somashekhar M Nimbalkar;Yogita Sharma,NA,Research Article;,2020-10-12T00:00:00Z,10.1016/j.jcot.2020.09.016,0,2020-10-03T00:00:00Z,10.1016/j.jcot.2020.09.016,0,Retraction,+Notice - Lack of;+Temporary Removal;,No,NA,1,1
24365,Menâ€™s music ability and attractiveness to women in a real-life courtship context,(HUM) Arts - Music;(SOC) Psychology;,"UniversitÃ© de Bretagne-Sud, France; UniversitÃ© de Paris-Sud, France;",Psychology of Music,SAGE Publications,France,Nicolas GuÃ©guen;SÃ©bastien Meineri;Jacques Fischer-Lokou,http://retractionwatch.com/?s=%22Gueguen%22;http://retractionwatch.com/2020/10/09/heard-about-the-study-claiming-men-who-carry-guitar-cases-are-more-attractive-its-been-retracted/,Research Article;,2020-10-08T00:00:00Z,10.1177/0305735620964704,0,2013-05-01T00:00:00Z,10.1177/0305735613482025,0,Retraction,+Ethical Violations by Author;+Informed/Patient Consent - None/Withdrawn;+Unreliable Data;+Upgrade/Update of Prior Notice;,No,NA,1,1
24380,Witnessing Moral Violations Increases Conformity in Consumption,(B/T) Business - Marketing;(SOC) Psychology;,"Kellogg School of Management, Northwestern University, Evanston, IL 60208, USA; Rotman School of Management, University of Toronto, Toronto, ON M5S 3E6, Canada;",Journal of Consumer Research,Oxford Academic,Canada;United States,Ping Dong;Chen Bo Zhong,http://retractionwatch.com/2019/10/28/former-northwestern-psychology-prof-has-paper-subjected-to-an-expression-of-concern/,Research Article;,2020-10-08T00:00:00Z,10.1093/jcr/ucaa048,0,2017-04-18T00:00:00Z,10.1093/jcr/ucx061,0,Retraction,+Concerns/Issues About Data;+Concerns/Issues About Results;+Unreliable Results;+Upgrade/Update of Prior Notice;,No,NA,1,1
24525,Cognitive-behavioural therapy combined with music therapy for chronic fatigue following Epstein-Barr virus infection in adolescents: a feasibility study,(HSC) Medicine - Infectious Disease;(HSC) Medicine - Pediatrics;(HUM) Arts - Music;(SOC) Psychology;,"Pediatrics, Akershus University Hospital, Oslo, Norway; Institutt for klinisk medisin, Universitetet i Oslo, Oslo, Norway; Barne- og Ungdomsklinikken, Akershus Universitetssykehus HF, Lorenskog, Norway; Department of Pediatrics and Adolescent Medicine, Drammen Hospital, Drammen, Norway; Center for Music and Health, Norwegian College of Music, Oslo, Norway;; Department of Public Health and Nursing, NTNUâ€”Norwegian University of Science and Technology, Trondheim, Norway;",BMJ Paediatrics Open,Springer - Biomed Central (BMC),Norway,Sadak Malik;Tarjei TÃ¸rre Asprusten;Maria Pedersen;Julie Mangersnes;Gro Trondalen;Betty van Roy;Eva Skovlund;Vegard Bruun Wyller,NA,Research Article;,2020-10-01T00:00:00Z,10.1136/bmjpo-2019-000620ret,33123631,2020-04-09T00:00:00Z,10.1136/bmjpo-2019-000620,32342016,Retraction,+Error by Journal/Publisher;+Retract and Replace;,No,see https://bmjpaedsopen.bmj.com/content/4/1/e000797;,1,1
28618,The Threeâ€Step Theory of Suicide: An Independent Replication and Conceptual Extension,(SOC) Psychology;,"Department of Psychology, University of Wisconsin Eau Claire, Eau Claire, WI, USA; Department of Psychology, Cornell College, Mount Vernon, IA, USA;",Suicide and Lifeâ€Threatening Behavior,Wiley,United States,Christopher R Hagan;Jennifer J Muehlenkamp,NA,Research Article;,2020-09-30T00:00:00Z,10.1111/sltb.12590,31566798,2020-09-30T00:00:00Z,10.1111/sltb.12590,31566798,Retraction,+Error in Analyses;+Error in Methods;,No,NA,1,1
27702,Determinants of self-reported adherence to inhaler therapy in patients with chronic obstructive pulmonary disease,(HSC) Medicine - Pulmonology;(HSC) Medicine - Rehabilitation/Therapy;(SOC) Psychology;,"Department of Medical Sciences, University of Turin, Italy; Department of Clinical and Biological Sciences, University of Turin, Italy; S.C. Pneumologia U, Azienda Ospedaliero Universitaria CittÃ  della Salute e della Scienza, Turin, Italy;",Multidisciplinary Respiratory Medicine,PAGEPress,Italy,Ilaria Aredano;Francesca de Blasio;Paola Berchialla;Luisa Brussino;Caterina Bucca;Paolo Sildoro,NA,Research Article;,2020-09-23T00:00:00Z,10.4081/mrm.2020.654,33880182,2020-05-05T00:00:00Z,10.4081/mrm.2020.721,32391148,Retraction,+Breach of Policy by Author;,No,NA,1,1
24187,"No glove, no love: General intelligence predicts increased likelihood of condom use in response to HIV threat",(HSC) Medicine - Infectious Disease;(SOC) Psychology;(SOC) Sexual And Marital Studies;,"Singapore Management University, School of Social Sciences, 90 Stamford Road, Level 4, 178903, Singapore; Florida State University, Department of Psychology, 1107 W. Call Street, Tallahassee, FL 32306-4301, United States;",Personality and Individual Differences,Elsevier,Singapore;United States,Sean T H Lee;Norman P Li;Andrea L Meltzer;Nadhilla V Melia;Hui Si Oh,NA,Research Article;,2020-09-14T00:00:00Z,10.1016/j.paid.2020.109813,0,2020-01-11T00:00:00Z,10.1016/j.paid.2020.109813,0,Retraction,+Date of Retraction/Other Unknown;+Error in Analyses;+Error in Results and/or Conclusions;,No,"No date given for retraction, entered in DB 9/14/2020;",1,1
24185,Gender Differences in Alcohol Treatment,(HSC) Medicine - Psychiatry;(HSC) Medicine - Rehabilitation/Therapy;(SOC) Psychology;,"Unit of Clinical Alcohol Research, Department of Clinical Research, University of Southern Denmark, Odense, Denmark; Department of Clinical Research, University of Southern Denmark, Odense, Denmark; Research Unit for Telepsychiatry and E-mental Health, Centre for Telepsychiatry, Mental Health Services in the Region of Southern Denmark, Odense, Denmark; OPEN, Odense Patient Data Explorative Network, Odense University Hospital, Odense, Denmark;",Alcohol and Alcoholism: International Journal of the Medical Council on Alcoholism,Oxford Academic,Denmark,J Molly Blendberg;Svanlaug Ã€rnadottir;Kristine Tarp;Randi Bilberg,NA,Research Article;,2020-09-09T00:00:00Z,10.1093/alcalc/agaa095,32901262,2020-07-29T00:00:00Z,10.1093/alcalc/agaa071,32725125,Retraction,+Error in Analyses;+Unreliable Results;,No,NA,1,1
